case_id,machine_id,component,failure,symptoms,resolution
CASE-0370,MC-007,Hydraulic Oil,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0371,EXC-007,Boom Cylinder,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0372,MC-018,Bucket Cylinder,Line restriction,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0373,EXC-008,Arm Cylinder,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0374,MC-004,Hydraulic Line,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0375,EXC-001,Hydraulic Pump,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0376,EXC-003,Main Control Valve,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0377,MC-013,Travel Motor,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0378,MC-005,Arm Cylinder,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0379,MC-014,Pilot System,Accumulator pressure loss,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0380,MC-015,Accumulator,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced cylinder seals and holding valve
CASE-0381,EXC-003,Boom Cylinder,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0382,MC-004,Main Control Valve,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0383,EXC-007,Accumulator,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0384,MC-019,Arm Cylinder,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0385,MC-009,Hydraulic Oil,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0386,MC-012,Hydraulic Oil,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0387,MC-003,Boom Cylinder,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0388,MC-008,Arm Cylinder,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0389,MC-006,Bucket Cylinder,Air ingress,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0390,MC-015,Hydraulic Filter,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0391,EXC-001,Main Control Valve,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0392,MC-013,Boom Cylinder,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0393,MC-020,Travel Motor,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0394,MC-006,Boom Cylinder,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0395,EXC-009,Hydraulic Pump,Line restriction,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0396,EXC-007,Main Control Valve,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0397,MC-001,Hydraulic Pump,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0398,MC-010,Swing Motor,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0399,MC-003,Bucket Cylinder,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0400,EXC-009,Bucket Cylinder,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0401,MC-008,Swing Motor,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0402,EXC-003,Pilot System,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0403,MC-014,Travel Motor,Pilot pressure drop,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0404,EXC-002,Boom Cylinder,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0405,MC-012,Hydraulic Filter,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0406,EXC-005,Accumulator,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0407,MC-003,Hydraulic Filter,Air ingress,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0408,MC-004,Hydraulic Pump,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0409,MC-002,Main Control Valve,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0410,MC-001,Bucket Cylinder,Oil contamination,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0411,MC-016,Swing Motor,Valve spool binding,Functions drift down when idle; Pressure drop under load; Sluggish response,Rebuilt main pump assembly and replaced seals
CASE-0412,EXC-005,Boom Cylinder,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0413,EXC-009,Arm Cylinder,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0414,MC-002,Hydraulic Pump,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0415,EXC-006,Hydraulic Filter,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0416,EXC-008,Main Control Valve,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0417,EXC-006,Swing Motor,Accumulator pressure loss,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0418,MC-011,Boom Cylinder,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0419,MC-015,Hydraulic Pump,Cylinder seal wear,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0420,MC-018,Hydraulic Oil,Accumulator pressure loss,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0421,MC-014,Hydraulic Filter,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0422,MC-008,Main Control Valve,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0423,MC-006,Oil Cooler,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0424,EXC-004,Hydraulic Pump,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0425,MC-004,Hydraulic Pump,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0426,EXC-009,Swing Motor,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0427,MC-006,Hydraulic Oil,Air ingress,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0428,MC-016,Pilot System,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0429,MC-002,Travel Motor,Line restriction,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0430,EXC-007,Accumulator,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0431,MC-017,Arm Cylinder,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0432,EXC-006,Hydraulic Oil,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0433,EXC-001,Swing Motor,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0434,EXC-007,Arm Cylinder,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0435,EXC-008,Oil Cooler,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0436,MC-020,Oil Cooler,Pilot pressure drop,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0437,MC-013,Pilot System,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0438,MC-002,Bucket Cylinder,Valve spool binding,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0439,MC-009,Main Control Valve,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0440,MC-010,Accumulator,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0441,MC-014,Accumulator,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0442,EXC-005,Oil Cooler,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Rebuilt main pump assembly and replaced seals
CASE-0443,EXC-006,Hydraulic Filter,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0444,MC-004,Hydraulic Line,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0445,MC-006,Hydraulic Line,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Rebuilt main pump assembly and replaced seals
CASE-0446,EXC-007,Hydraulic Filter,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0447,EXC-003,Hydraulic Filter,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0448,EXC-009,Main Control Valve,Cylinder seal wear,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0449,EXC-004,Travel Motor,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0450,MC-009,Accumulator,Oil contamination,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0451,MC-014,Hydraulic Pump,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0452,EXC-007,Swing Motor,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0453,MC-020,Bucket Cylinder,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0454,MC-011,Boom Cylinder,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0455,EXC-001,Swing Motor,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0456,EXC-001,Accumulator,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0457,MC-016,Oil Cooler,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0458,EXC-009,Hydraulic Oil,Valve spool binding,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0459,EXC-007,Pilot System,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0460,MC-008,Boom Cylinder,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0461,MC-006,Main Control Valve,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0462,MC-001,Arm Cylinder,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0463,MC-017,Boom Cylinder,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0464,MC-015,Hydraulic Line,Air ingress,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0465,MC-013,Oil Cooler,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0466,MC-003,Pilot System,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0467,MC-008,Hydraulic Line,Oil contamination,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0468,MC-005,Hydraulic Pump,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0469,MC-001,Main Control Valve,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0470,EXC-009,Pilot System,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0471,EXC-008,Main Control Valve,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0472,MC-005,Hydraulic Line,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0473,MC-020,Pilot System,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0474,MC-006,Hydraulic Line,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0475,EXC-004,Accumulator,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0476,EXC-009,Hydraulic Oil,Line restriction,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0477,MC-018,Arm Cylinder,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0478,MC-001,Hydraulic Oil,Accumulator pressure loss,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0479,EXC-003,Pilot System,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0480,MC-011,Travel Motor,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0481,EXC-001,Swing Motor,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0482,EXC-001,Travel Motor,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0483,MC-005,Oil Cooler,Cylinder seal wear,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0484,MC-015,Hydraulic Pump,Accumulator pressure loss,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0485,MC-018,Main Control Valve,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0486,MC-004,Hydraulic Pump,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0487,MC-003,Boom Cylinder,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0488,MC-015,Pilot System,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0489,MC-011,Accumulator,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0490,MC-015,Hydraulic Oil,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0491,EXC-008,Swing Motor,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0492,MC-019,Bucket Cylinder,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0493,MC-020,Oil Cooler,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0494,MC-011,Hydraulic Pump,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0495,MC-006,Hydraulic Pump,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0496,MC-010,Hydraulic Filter,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0497,EXC-006,Arm Cylinder,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced pilot pressure reducing valve and pilot filter
CASE-0498,EXC-007,Hydraulic Pump,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0499,EXC-006,Boom Cylinder,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0500,EXC-005,Accumulator,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0501,MC-017,Hydraulic Filter,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0502,EXC-009,Pilot System,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0503,EXC-005,Hydraulic Filter,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0504,MC-017,Travel Motor,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0505,MC-016,Hydraulic Line,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0506,EXC-002,Oil Cooler,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0507,MC-016,Hydraulic Oil,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0508,MC-017,Travel Motor,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0509,MC-019,Hydraulic Filter,Valve spool binding,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0510,MC-008,Hydraulic Oil,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0511,EXC-001,Bucket Cylinder,Oil contamination,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0512,EXC-001,Hydraulic Line,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0513,MC-002,Hydraulic Oil,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0514,MC-012,Hydraulic Filter,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0515,MC-008,Pilot System,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0516,MC-001,Hydraulic Line,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0517,EXC-001,Hydraulic Oil,Accumulator pressure loss,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0518,MC-007,Hydraulic Filter,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0519,MC-003,Hydraulic Pump,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0520,MC-019,Travel Motor,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0521,MC-011,Hydraulic Line,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0522,EXC-002,Hydraulic Pump,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0523,MC-003,Oil Cooler,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Cleaned spool valve linkage and replaced valve seals
CASE-0524,MC-004,Main Control Valve,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0525,MC-008,Main Control Valve,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0526,EXC-004,Main Control Valve,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0527,MC-009,Swing Motor,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0528,EXC-001,Hydraulic Line,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0529,EXC-004,Hydraulic Pump,Accumulator pressure loss,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0530,MC-003,Hydraulic Oil,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0531,EXC-005,Hydraulic Pump,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0532,MC-003,Boom Cylinder,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0533,MC-014,Hydraulic Pump,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,Rebuilt main pump assembly and replaced seals
CASE-0534,MC-013,Pilot System,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0535,EXC-005,Accumulator,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0536,MC-011,Travel Motor,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0537,MC-009,Hydraulic Filter,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0538,MC-012,Bucket Cylinder,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0539,MC-009,Oil Cooler,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0540,MC-012,Hydraulic Oil,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0541,MC-014,Hydraulic Line,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0542,MC-011,Pilot System,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0543,MC-002,Hydraulic Oil,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0544,EXC-009,Hydraulic Oil,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0545,MC-012,Hydraulic Oil,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0546,MC-020,Accumulator,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0547,MC-012,Travel Motor,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0548,MC-020,Pilot System,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0549,MC-001,Hydraulic Pump,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0550,EXC-006,Hydraulic Filter,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0551,EXC-002,Travel Motor,Valve spool binding,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0552,MC-006,Hydraulic Filter,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0553,MC-019,Pilot System,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Rebuilt main pump assembly and replaced seals
