service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00539,MR-00539,EQ-0232,TECH-0417,2024-05-15,Condition-Based,Day,5666,Accumulator: Internal pump leakage; observed symptom: pump noise increases during operation.,Operational test under load,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Operational test passed,1.39,3.9,26701.2,2024-11-15,Closed,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00540,MR-00540,EQ-0202,TECH-0985,2024-05-15,Corrective,Night,7860,Hydraulic Filter: Pilot pressure drop; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,high oil temperature,replaced damaged hose and pressure-tested circuit,Hydraulic filter,Operational test passed,12.47,1.07,37537.36,2024-11-15,Completed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00541,MR-00541,EQ-0209,TECH-0668,2024-05-15,Corrective,Night,17927,Arm Cylinder: Line restriction; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,air entering suction line,replaced damaged hose and pressure-tested circuit,Valve O-rings,Leak test passed,8.95,4.27,74388.27,2024-11-15,Completed - Monitor,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00542,MR-00542,EQ-0154,TECH-0763,2024-05-15,Preventive,Evening,2414,Swing Motor: Cylinder seal wear; observed symptom: pump noise increases during operation.,Temperature and pressure checks,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Leak test passed,15.37,1.76,27560.6,2024-11-15,Closed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00543,MR-00543,EQ-0232,TECH-0912,2024-05-15,Inspection,Night,1854,Travel Motor: Oil contamination; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Functional test passed,10.03,8.24,50102.19,2024-11-15,Completed - Monitor,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00544,MR-00544,EQ-0213,TECH-0906,2024-05-15,Preventive,Night,11020,Hydraulic Oil: Oil contamination; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,air entering suction line,inspected hydraulic circuit and isolated affected component,Pump seal kit,Operational test passed,3.47,2.65,33635.87,2024-11-15,Completed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00545,MR-00545,EQ-0130,TECH-0926,2024-05-15,Condition-Based,Evening,9755,Boom Cylinder: Internal pump leakage; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,blocked cooler core,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Operational test passed,11.44,0.48,33200.11,2024-11-15,Completed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00546,MR-00546,EQ-0128,TECH-0442,2024-05-15,Corrective,Evening,2531,Hydraulic Oil: Filter blockage; observed symptom: pump noise increases during operation.,Temperature and pressure checks,high oil temperature,inspected hydraulic circuit and isolated affected component,Return filter element,Leak test passed,5.3,7.74,42492.41,2024-11-15,Completed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00547,MR-00547,EQ-0134,TECH-0457,2024-05-15,Condition-Based,Night,18007,Hydraulic Oil: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,air entering suction line,tested pilot pressure and inspected pilot circuit,Pump seal kit,Operational test passed,14.42,7.39,65529.19,2024-11-15,Follow-up Required,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00548,MR-00548,EQ-0190,TECH-0600,2024-05-15,Condition-Based,Day,13521,Hydraulic Filter: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Hydraulic oil,Operational test passed,2.05,11.57,47556.22,2024-11-15,Follow-up Required,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00549,MR-00549,EQ-0116,TECH-0109,2024-05-15,Corrective,Day,17022,Boom Cylinder: Cylinder seal wear; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Pressure test passed,15.17,11.11,73270.64,2024-11-15,Closed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00550,MR-00550,EQ-0100,TECH-0258,2024-05-15,Corrective,Day,9880,Main Control Valve: Accumulator pressure loss; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Pressure test passed,6.89,10.13,15103.4,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00551,MR-00551,EQ-0131,TECH-0380,2024-05-15,Condition-Based,Evening,5234,Swing Motor: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,blocked cooler core,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Functional test passed,1.1,2.03,27895.86,2024-11-15,Completed - Monitor,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00552,MR-00552,EQ-0145,TECH-0593,2024-05-15,Corrective,Day,11012,Swing Motor: Accumulator pressure loss; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Leak test passed,14.26,7.48,30430.18,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00553,MR-00553,EQ-0236,TECH-0945,2024-05-15,Corrective,Evening,6710,Main Control Valve: Internal pump leakage; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Leak test passed,9.69,2.1,17338.32,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00554,MR-00554,EQ-0175,TECH-0636,2024-05-15,Inspection,Night,5599,Hydraulic Filter: Filter blockage; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Hydraulic filter,Functional test passed,3.79,4.76,48909.66,2024-11-15,Completed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00555,MR-00555,EQ-0131,TECH-0684,2024-05-15,Corrective,Evening,4873,Pilot System: Air ingress; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Leak test passed,2.32,6.9,41517.68,2024-11-15,Follow-up Required,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00556,MR-00556,EQ-0142,TECH-0793,2024-05-15,Preventive,Evening,18250,Main Control Valve: Cylinder seal wear; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Pressure test passed,15.98,11.64,64160.5,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00557,MR-00557,EQ-0217,TECH-0424,2024-05-15,Corrective,Evening,6445,Boom Cylinder: Cooler restriction; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Pressure test passed,2.11,5.78,22472.78,2024-11-15,Follow-up Required,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00558,MR-00558,EQ-0149,TECH-0748,2024-05-15,Preventive,Day,9703,Hydraulic Line: Accumulator pressure loss; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,loss of accumulator pre-charge,inspected hydraulic circuit and isolated affected component,Hydraulic oil,Leak test passed,13.93,9.58,40154.85,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00559,MR-00559,EQ-0131,TECH-0788,2024-05-15,Inspection,Day,8583,Travel Motor: Line restriction; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Pressure test passed,15.27,5.69,41849.8,2024-11-15,Follow-up Required,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00560,MR-00560,EQ-0198,TECH-0266,2024-05-15,Corrective,Night,4349,Pilot System: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Operational test under load,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Pump seal kit,Functional test passed,11.5,7.42,66470.25,2024-11-15,Completed - Monitor,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00561,MR-00561,EQ-0141,TECH-0332,2024-05-15,Preventive,Night,7473,Accumulator: Accumulator pressure loss; observed symptom: pump noise increases during operation.,Operational test under load,high oil temperature,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Operational test passed,9.43,9.01,57098.76,2024-11-15,Follow-up Required,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00562,MR-00562,EQ-0195,TECH-0628,2024-05-15,Condition-Based,Night,5499,Hydraulic Oil: Pilot pressure drop; observed symptom: pump noise increases during operation.,Operational test under load,blocked cooler core,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,Leak test passed,14.66,1.15,56951.25,2024-11-15,Completed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00563,MR-00563,EQ-0139,TECH-0427,2024-05-15,Condition-Based,Evening,14207,Hydraulic Line: Air ingress; observed symptom: bucket cylinder leaking externally.,Operational test under load,high oil temperature,inspected hydraulic circuit and isolated affected component,Hydraulic filter,Pressure test passed,2.86,6.75,27366.74,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00564,MR-00564,EQ-0213,TECH-0538,2024-05-15,Preventive,Night,10224,Arm Cylinder: Cylinder seal wear; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,contaminated hydraulic oil,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Operational test passed,10.47,5.43,60743.24,2024-11-15,Follow-up Required,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00565,MR-00565,EQ-0104,TECH-0430,2024-05-15,Condition-Based,Night,12313,Hydraulic Filter: Cooler restriction; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,high oil temperature,tested pilot pressure and inspected pilot circuit,Cooler gasket set,Leak test passed,4.94,4.98,4234.83,2024-11-15,Follow-up Required,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00566,MR-00566,EQ-0215,TECH-0119,2024-05-15,Condition-Based,Evening,2811,Travel Motor: Filter blockage; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Pressure test passed,14.93,11.14,59163.1,2024-11-15,Completed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00567,MR-00567,EQ-0182,TECH-0832,2024-05-15,Inspection,Day,4893,Swing Motor: Oil contamination; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,high oil temperature,inspected hydraulic circuit and isolated affected component,Return filter element,Operational test passed,8.22,9.2,17733.02,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00568,MR-00568,EQ-0174,TECH-0243,2024-05-15,Inspection,Day,14396,Travel Motor: Air ingress; observed symptom: pump noise increases during operation.,Temperature and pressure checks,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Valve O-rings,Operational test passed,4.69,0.8,26753.56,2024-11-15,Completed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00569,MR-00569,EQ-0228,TECH-0425,2024-05-15,Condition-Based,Night,18352,Oil Cooler: Oil contamination; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Leak test passed,10.85,4.36,15978.43,2024-11-15,Closed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00570,MR-00570,EQ-0121,TECH-0218,2024-05-15,Preventive,Evening,8927,Bucket Cylinder: Pilot pressure drop; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Functional test passed,7.72,6.08,34140.09,2024-11-15,Completed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00571,MR-00571,EQ-0175,TECH-0537,2024-05-15,Corrective,Day,13209,Pilot System: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,air entering suction line,tested pilot pressure and inspected pilot circuit,Valve O-rings,Pressure test passed,8.62,10.47,27923.57,2024-11-15,Completed - Monitor,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00572,MR-00572,EQ-0224,TECH-0444,2024-05-15,Corrective,Evening,14993,Hydraulic Oil: Cooler restriction; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Functional test passed,3.91,8.28,68711.25,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00573,MR-00573,EQ-0118,TECH-0104,2024-05-15,Preventive,Day,6768,Arm Cylinder: Pilot pressure drop; observed symptom: pump noise increases during operation.,Temperature and pressure checks,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Pressure test passed,2.17,11.31,34771.41,2024-11-15,Closed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00574,MR-00574,EQ-0177,TECH-0898,2024-05-15,Condition-Based,Evening,3172,Accumulator: Air ingress; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Valve O-rings,Operational test passed,2.87,3.79,23461.52,2024-11-15,Completed,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00575,MR-00575,EQ-0100,TECH-0689,2024-05-15,Condition-Based,Night,15781,Hydraulic Oil: Cylinder seal wear; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic hose,Leak test passed,13.18,4.97,55592.48,2024-11-15,Completed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00576,MR-00576,EQ-0166,TECH-0645,2024-05-15,Corrective,Evening,10508,Hydraulic Oil: Cooler restriction; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Hydraulic hose,Functional test passed,3.95,1.8,31509.53,2024-11-15,Completed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00577,MR-00577,EQ-0112,TECH-0567,2024-05-15,Condition-Based,Night,7408,Hydraulic Pump: Oil contamination; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Valve O-rings,Pressure test passed,3.15,5.64,4606.98,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00578,MR-00578,EQ-0209,TECH-0432,2024-05-15,Inspection,Evening,8283,Bucket Cylinder: Cooler restriction; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,loss of accumulator pre-charge,inspected hydraulic circuit and isolated affected component,Pump seal kit,Pressure test passed,10.21,1.85,30567.28,2024-11-15,Follow-up Required,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00579,MR-00579,EQ-0119,TECH-0696,2024-05-15,Condition-Based,Evening,13004,Main Control Valve: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Operational test passed,12.54,10.46,55481.05,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00580,MR-00580,EQ-0199,TECH-0196,2024-05-15,Preventive,Day,16103,Hydraulic Line: Line restriction; observed symptom: travel function loses power on incline.,Filter inspection and fluid condition check,air entering suction line,tested pilot pressure and inspected pilot circuit,Valve O-rings,Operational test passed,3.73,8.74,21010.89,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00581,MR-00581,EQ-0138,TECH-0849,2024-05-15,Preventive,Night,17948,Hydraulic Filter: Valve spool binding; observed symptom: pump noise increases during operation.,Operational test under load,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Operational test passed,9.37,3.84,26278.46,2024-11-15,Completed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00582,MR-00582,EQ-0210,TECH-0743,2024-05-15,Inspection,Night,15984,Bucket Cylinder: Valve spool binding; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Leak test passed,11.83,11.14,45943.8,2024-11-15,Completed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00583,MR-00583,EQ-0158,TECH-0753,2024-05-15,Inspection,Night,13184,Bucket Cylinder: Filter blockage; observed symptom: bucket cylinder leaking externally.,Operational test under load,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Return filter element,Functional test passed,9.26,7.34,24844.83,2024-11-15,Follow-up Required,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00584,MR-00584,EQ-0139,TECH-0803,2024-05-15,Condition-Based,Night,5479,Bucket Cylinder: Cylinder seal wear; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Return filter element,Pressure test passed,2.12,6.97,73192.82,2024-11-15,Follow-up Required,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00585,MR-00585,EQ-0115,TECH-0645,2024-05-15,Corrective,Evening,2555,Hydraulic Filter: Line restriction; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,loss of accumulator pre-charge,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,Functional test passed,14.56,0.66,19478.05,2024-11-15,Closed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00586,MR-00586,EQ-0192,TECH-0659,2024-05-15,Corrective,Evening,8287,Pilot System: Air ingress; observed symptom: travel function loses power on incline.,Temperature and pressure checks,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Functional test passed,4.43,8.02,42549.9,2024-11-15,Completed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00587,MR-00587,EQ-0162,TECH-0791,2024-05-15,Corrective,Evening,3745,Hydraulic Line: Air ingress; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,high oil temperature,replaced damaged hose and pressure-tested circuit,Valve O-rings,Pressure test passed,14.46,8.21,49686.75,2024-11-15,Completed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00588,MR-00588,EQ-0110,TECH-0619,2024-05-15,Condition-Based,Day,16439,Arm Cylinder: Valve spool binding; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,Leak test passed,1.88,6.66,39403.82,2024-11-15,Closed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00589,MR-00589,EQ-0197,TECH-0853,2024-05-15,Condition-Based,Night,2835,Swing Motor: Internal pump leakage; observed symptom: hydraulic oil temperature rises during continuous operation.,Visual inspection and pressure test,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Functional test passed,14.78,10.91,36142.43,2024-11-15,Closed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00590,MR-00590,EQ-0115,TECH-0104,2024-05-15,Inspection,Night,10840,Hydraulic Filter: Pilot pressure drop; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Operational test passed,10.04,4.31,57310.89,2024-11-15,Follow-up Required,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00591,MR-00591,EQ-0229,TECH-0567,2024-05-15,Inspection,Evening,1710,Arm Cylinder: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Valve O-rings,Operational test passed,3.0,11.55,74949.83,2024-11-15,Follow-up Required,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00592,MR-00592,EQ-0103,TECH-0460,2024-05-15,Corrective,Night,13680,Oil Cooler: Cooler restriction; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,high oil temperature,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Leak test passed,10.76,1.78,43622.34,2024-11-15,Follow-up Required,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00593,MR-00593,EQ-0150,TECH-0221,2024-05-15,Corrective,Night,15319,Bucket Cylinder: Internal pump leakage; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Leak test passed,9.51,4.57,44573.57,2024-11-15,Completed - Monitor,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00594,MR-00594,EQ-0199,TECH-0511,2024-05-15,Preventive,Evening,6068,Hydraulic Filter: Internal pump leakage; observed symptom: hydraulic flow is low at operating temperature.,Visual inspection and pressure test,air entering suction line,replaced damaged hose and pressure-tested circuit,Return filter element,Pressure test passed,13.88,0.68,43139.42,2024-11-15,Closed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00595,MR-00595,EQ-0105,TECH-0497,2024-05-15,Preventive,Day,2365,Travel Motor: Filter blockage; observed symptom: pump noise increases during operation.,Operational test under load,high oil temperature,inspected hydraulic circuit and isolated affected component,Valve O-rings,Functional test passed,12.18,7.05,18395.5,2024-11-15,Follow-up Required,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00596,MR-00596,EQ-0223,TECH-0929,2024-05-15,Inspection,Evening,7822,Arm Cylinder: Valve spool binding; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,blocked cooler core,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Leak test passed,9.51,11.96,58041.05,2024-11-15,Completed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00597,MR-00597,EQ-0113,TECH-0315,2024-05-15,Corrective,Evening,15727,Hydraulic Line: Pilot pressure drop; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,air entering suction line,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Pressure test passed,6.03,6.05,16887.89,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00598,MR-00598,EQ-0212,TECH-0613,2024-05-15,Corrective,Day,7338,Hydraulic Line: Oil contamination; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,air entering suction line,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Operational test passed,6.57,10.75,39274.79,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00599,MR-00599,EQ-0143,TECH-0733,2024-05-15,Preventive,Evening,12328,Accumulator: Cylinder seal wear; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Leak test passed,11.21,4.54,45159.42,2024-11-15,Completed - Monitor,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00600,MR-00600,EQ-0109,TECH-0860,2024-05-15,Corrective,Day,18231,Boom Cylinder: Pilot pressure drop; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,high oil temperature,tested pilot pressure and inspected pilot circuit,Return filter element,Operational test passed,13.3,7.9,31568.53,2024-11-15,Follow-up Required,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00601,MR-00601,EQ-0235,TECH-0212,2024-05-15,Corrective,Evening,10404,Hydraulic Pump: Line restriction; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,blocked cooler core,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,Leak test passed,4.61,6.98,16423.34,2024-11-15,Follow-up Required,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00602,MR-00602,EQ-0207,TECH-0908,2024-05-15,Corrective,Evening,9158,Hydraulic Line: Oil contamination; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,blocked cooler core,tested pilot pressure and inspected pilot circuit,Cooler gasket set,Functional test passed,3.19,3.35,15991.31,2024-11-15,Closed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00603,MR-00603,EQ-0199,TECH-0652,2024-05-15,Preventive,Night,15994,Hydraulic Oil: Pilot pressure drop; observed symptom: pump noise increases during operation.,Temperature and pressure checks,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Operational test passed,7.66,9.92,9403.14,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00604,MR-00604,EQ-0152,TECH-0863,2024-05-15,Condition-Based,Night,13825,Oil Cooler: Filter blockage; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Pressure test passed,12.63,11.44,24766.44,2024-11-15,Completed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00605,MR-00605,EQ-0176,TECH-0598,2024-05-15,Condition-Based,Day,5627,Swing Motor: Valve spool binding; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Functional test passed,2.71,7.71,61092.05,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
